Genus,Species,Strain,Fasta,FastaFolder,Fastq,FastqFolder,ReferenceGenome,Kingdom,Phylum,Class,Order,Family,file,type
Agrobacterium,fabrum,circ2,Agrobacterium_fabrum_circ4,bacteria/agrobacterium/fabrum/circ4,MM162,1_BACTERIA/Mix_bacteria,GCA_000092025.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,results/macrodomains/Agrobacterium_fabrum_circ4_MM162_macrodomains.bed,macrodomains
Agrobacterium,fabrum,circ2,Agrobacterium_fabrum_circ4,bacteria/agrobacterium/fabrum/circ4,MM162,1_BACTERIA/Mix_bacteria,GCA_000092025.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,results/DI/Agrobacterium_fabrum_circ4_MM162_DI.bed,DI
Agrobacterium,fabrum,circ2,Agrobacterium_fabrum_circ4,bacteria/agrobacterium/fabrum/circ4,MM162,1_BACTERIA/Mix_bacteria,GCA_000092025.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,results/insulation/Agrobacterium_fabrum_circ4_MM162_insulation.bed,insulation
Agrobacterium,fabrum,circ2,Agrobacterium_fabrum_circ4,bacteria/agrobacterium/fabrum/circ4,MM162,1_BACTERIA/Mix_bacteria,GCA_000092025.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,results/chromosight/Agrobacterium_fabrum_circ4_MM162_loops.tsv,chromosight
Akkermansia,muciniphila,YL44,A_muciniphila,metagenomics/OligoMM12,MM82,2_METAG/OMM,GCA_016697425.1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,ref/A_muciniphila.fa,assembly
Akkermansia,muciniphila,YL44,A_muciniphila,metagenomics/OligoMM12,MM82,2_METAG/OMM,GCA_016697425.1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,results/cool/A_muciniphila_MM82.mcool,cool
Akkermansia,muciniphila,YL44,A_muciniphila,metagenomics/OligoMM12,MM82,2_METAG/OMM,GCA_016697425.1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,results/distance_law/A_muciniphila_MM82_distance_law.csv,distance_law
Akkermansia,muciniphila,YL44,A_muciniphila,metagenomics/OligoMM12,MM82,2_METAG/OMM,GCA_016697425.1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,results/pairs/A_muciniphila_MM82.pairs,pairs
Akkermansia,muciniphila,YL44,A_muciniphila,metagenomics/OligoMM12,MM82,2_METAG/OMM,GCA_016697425.1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,results/macrodomains/A_muciniphila_MM82_macrodomains.bed,macrodomains
Akkermansia,muciniphila,YL44,A_muciniphila,metagenomics/OligoMM12,MM82,2_METAG/OMM,GCA_016697425.1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,results/DI/A_muciniphila_MM82_DI.bed,DI
Akkermansia,muciniphila,YL44,A_muciniphila,metagenomics/OligoMM12,MM82,2_METAG/OMM,GCA_016697425.1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,results/insulation/A_muciniphila_MM82_insulation.bed,insulation
Akkermansia,muciniphila,YL44,A_muciniphila,metagenomics/OligoMM12,MM82,2_METAG/OMM,GCA_016697425.1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,results/borders/A_muciniphila_MM82_borders.bed,borders
Akkermansia,muciniphila,YL44,A_muciniphila,metagenomics/OligoMM12,MM82,2_METAG/OMM,GCA_016697425.1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,results/chromosight/A_muciniphila_MM82_loops.tsv,chromosight
Allorhizobium,ampelinum,S4,Allorhizobium_ampelinum_S4_VJ,bacteria/allorhizobium/ampelinum/S4,MM116,1_BACTERIA/Mix_bacteria,GCA_000016285.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,ref/Allorhizobium_ampelinum_S4_VJ.fa,assembly
Allorhizobium,ampelinum,S4,Allorhizobium_ampelinum_S4_VJ,bacteria/allorhizobium/ampelinum/S4,MM116,1_BACTERIA/Mix_bacteria,GCA_000016285.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,results/cool/Allorhizobium_ampelinum_S4_VJ_MM116.mcool,cool
Allorhizobium,ampelinum,S4,Allorhizobium_ampelinum_S4_VJ,bacteria/allorhizobium/ampelinum/S4,MM116,1_BACTERIA/Mix_bacteria,GCA_000016285.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,results/distance_law/Allorhizobium_ampelinum_S4_VJ_MM116_distance_law.csv,distance_law
Allorhizobium,ampelinum,S4,Allorhizobium_ampelinum_S4_VJ,bacteria/allorhizobium/ampelinum/S4,MM116,1_BACTERIA/Mix_bacteria,GCA_000016285.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,results/pairs/Allorhizobium_ampelinum_S4_VJ_MM116.pairs,pairs
Allorhizobium,ampelinum,S4,Allorhizobium_ampelinum_S4_VJ,bacteria/allorhizobium/ampelinum/S4,MM116,1_BACTERIA/Mix_bacteria,GCA_000016285.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,results/macrodomains/Allorhizobium_ampelinum_S4_VJ_MM116_macrodomains.bed,macrodomains
Allorhizobium,ampelinum,S4,Allorhizobium_ampelinum_S4_VJ,bacteria/allorhizobium/ampelinum/S4,MM116,1_BACTERIA/Mix_bacteria,GCA_000016285.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,results/DI/Allorhizobium_ampelinum_S4_VJ_MM116_DI.bed,DI
Allorhizobium,ampelinum,S4,Allorhizobium_ampelinum_S4_VJ,bacteria/allorhizobium/ampelinum/S4,MM116,1_BACTERIA/Mix_bacteria,GCA_000016285.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,results/insulation/Allorhizobium_ampelinum_S4_VJ_MM116_insulation.bed,insulation
Allorhizobium,ampelinum,S4,Allorhizobium_ampelinum_S4_VJ,bacteria/allorhizobium/ampelinum/S4,MM116,1_BACTERIA/Mix_bacteria,GCA_000016285.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,results/chromosight/Allorhizobium_ampelinum_S4_VJ_MM116_loops.tsv,chromosight
Bacillus,cereus,NC7401,B_cereus_NC7401,bacteria/bacillus/cereus/NC7401,MM090,1_BACTERIA/Mix_bacteria,GCA_000283675.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,ref/B_cereus_NC7401.fa,assembly
Bacillus,cereus,NC7401,B_cereus_NC7401,bacteria/bacillus/cereus/NC7401,MM090,1_BACTERIA/Mix_bacteria,GCA_000283675.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/cool/B_cereus_NC7401_MM090.mcool,cool
Bacillus,cereus,NC7401,B_cereus_NC7401,bacteria/bacillus/cereus/NC7401,MM090,1_BACTERIA/Mix_bacteria,GCA_000283675.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/distance_law/B_cereus_NC7401_MM090_distance_law.csv,distance_law
Bacillus,cereus,NC7401,B_cereus_NC7401,bacteria/bacillus/cereus/NC7401,MM090,1_BACTERIA/Mix_bacteria,GCA_000283675.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/pairs/B_cereus_NC7401_MM090.pairs,pairs
Bacillus,cereus,NC7401,B_cereus_NC7401,bacteria/bacillus/cereus/NC7401,MM090,1_BACTERIA/Mix_bacteria,GCA_000283675.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/macrodomains/B_cereus_NC7401_MM090_macrodomains.bed,macrodomains
Bacillus,cereus,NC7401,B_cereus_NC7401,bacteria/bacillus/cereus/NC7401,MM090,1_BACTERIA/Mix_bacteria,GCA_000283675.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/DI/B_cereus_NC7401_MM090_DI.bed,DI
Bacillus,cereus,NC7401,B_cereus_NC7401,bacteria/bacillus/cereus/NC7401,MM090,1_BACTERIA/Mix_bacteria,GCA_000283675.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/insulation/B_cereus_NC7401_MM090_insulation.bed,insulation
Bacillus,cereus,NC7401,B_cereus_NC7401,bacteria/bacillus/cereus/NC7401,MM090,1_BACTERIA/Mix_bacteria,GCA_000283675.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/borders/B_cereus_NC7401_MM090_borders.bed,borders
Bacillus,cereus,NC7401,B_cereus_NC7401,bacteria/bacillus/cereus/NC7401,MM090,1_BACTERIA/Mix_bacteria,GCA_000283675.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/chromosight/B_cereus_NC7401_MM090_loops.tsv,chromosight
Bacillus,subtilis,BS168,B_subtilis_BS168,bacteria/bacillus/subtilis/BS168,CC339,1_BACTERIA/HiC_methods,GCA_000009025.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,ref/B_subtilis_BS168.fa,assembly
Bacillus,subtilis,BS168,B_subtilis_BS168,bacteria/bacillus/subtilis/BS168,CC339,1_BACTERIA/HiC_methods,GCA_000009025.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/cool/B_subtilis_BS168_CC339.mcool,cool
Bacillus,subtilis,BS168,B_subtilis_BS168,bacteria/bacillus/subtilis/BS168,CC339,1_BACTERIA/HiC_methods,GCA_000009025.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/distance_law/B_subtilis_BS168_CC339_distance_law.csv,distance_law
Bacillus,subtilis,BS168,B_subtilis_BS168,bacteria/bacillus/subtilis/BS168,CC339,1_BACTERIA/HiC_methods,GCA_000009025.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/pairs/B_subtilis_BS168_CC339.pairs,pairs
Bacillus,subtilis,BS168,B_subtilis_BS168,bacteria/bacillus/subtilis/BS168,CC339,1_BACTERIA/HiC_methods,GCA_000009025.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/macrodomains/B_subtilis_BS168_CC339_macrodomains.bed,macrodomains
Bacillus,subtilis,BS168,B_subtilis_BS168,bacteria/bacillus/subtilis/BS168,CC339,1_BACTERIA/HiC_methods,GCA_000009025.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/DI/B_subtilis_BS168_CC339_DI.bed,DI
Bacillus,subtilis,BS168,B_subtilis_BS168,bacteria/bacillus/subtilis/BS168,CC339,1_BACTERIA/HiC_methods,GCA_000009025.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/insulation/B_subtilis_BS168_CC339_insulation.bed,insulation
Bacillus,subtilis,BS168,B_subtilis_BS168,bacteria/bacillus/subtilis/BS168,CC339,1_BACTERIA/HiC_methods,GCA_000009025.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/borders/B_subtilis_BS168_CC339_borders.bed,borders
Bacillus,subtilis,BS168,B_subtilis_BS168,bacteria/bacillus/subtilis/BS168,CC339,1_BACTERIA/HiC_methods,GCA_000009025.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/chromosight/B_subtilis_BS168_CC339_loops.tsv,chromosight
Bacillus,subtilis,YB886,B_subtilis_YB886,bacteria/bacillus/subtilis/YB886,MM091,1_BACTERIA/bacillus_phage_SPP1,Unpublished,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,ref/B_subtilis_YB886.fa,assembly
Bacillus,subtilis,YB886,B_subtilis_YB886,bacteria/bacillus/subtilis/YB886,MM091,1_BACTERIA/bacillus_phage_SPP1,Unpublished,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/cool/B_subtilis_YB886_MM091.mcool,cool
Bacillus,subtilis,YB886,B_subtilis_YB886,bacteria/bacillus/subtilis/YB886,MM091,1_BACTERIA/bacillus_phage_SPP1,Unpublished,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/distance_law/B_subtilis_YB886_MM091_distance_law.csv,distance_law
Bacillus,subtilis,YB886,B_subtilis_YB886,bacteria/bacillus/subtilis/YB886,MM091,1_BACTERIA/bacillus_phage_SPP1,Unpublished,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/pairs/B_subtilis_YB886_MM091.pairs,pairs
Bacillus,subtilis,YB886,B_subtilis_YB886,bacteria/bacillus/subtilis/YB886,MM091,1_BACTERIA/bacillus_phage_SPP1,Unpublished,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/macrodomains/B_subtilis_YB886_MM091_macrodomains.bed,macrodomains
Bacillus,subtilis,YB886,B_subtilis_YB886,bacteria/bacillus/subtilis/YB886,MM091,1_BACTERIA/bacillus_phage_SPP1,Unpublished,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/DI/B_subtilis_YB886_MM091_DI.bed,DI
Bacillus,subtilis,YB886,B_subtilis_YB886,bacteria/bacillus/subtilis/YB886,MM091,1_BACTERIA/bacillus_phage_SPP1,Unpublished,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/insulation/B_subtilis_YB886_MM091_insulation.bed,insulation
Bacillus,subtilis,YB886,B_subtilis_YB886,bacteria/bacillus/subtilis/YB886,MM091,1_BACTERIA/bacillus_phage_SPP1,Unpublished,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/borders/B_subtilis_YB886_MM091_borders.bed,borders
Bacillus,subtilis,YB886,B_subtilis_YB886,bacteria/bacillus/subtilis/YB886,MM091,1_BACTERIA/bacillus_phage_SPP1,Unpublished,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,results/chromosight/B_subtilis_YB886_MM091_loops.tsv,chromosight
Bacteroides,caecimuris,I48,B_caecimuris_v2,metagenomics/OligoMM12/corrected_fasta,MM81,2_METAG/OMM,GCA_023277905.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,ref/B_caecimuris_v2.fa,assembly
Bacteroides,caecimuris,I48,B_caecimuris_v2,metagenomics/OligoMM12/corrected_fasta,MM81,2_METAG/OMM,GCA_023277905.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/cool/B_caecimuris_v2_MM81.mcool,cool
Bacteroides,caecimuris,I48,B_caecimuris_v2,metagenomics/OligoMM12/corrected_fasta,MM81,2_METAG/OMM,GCA_023277905.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/distance_law/B_caecimuris_v2_MM81_distance_law.csv,distance_law
Bacteroides,caecimuris,I48,B_caecimuris_v2,metagenomics/OligoMM12/corrected_fasta,MM81,2_METAG/OMM,GCA_023277905.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/pairs/B_caecimuris_v2_MM81.pairs,pairs
Bacteroides,caecimuris,I48,B_caecimuris_v2,metagenomics/OligoMM12/corrected_fasta,MM81,2_METAG/OMM,GCA_023277905.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/macrodomains/B_caecimuris_v2_MM81_macrodomains.bed,macrodomains
Bacteroides,caecimuris,I48,B_caecimuris_v2,metagenomics/OligoMM12/corrected_fasta,MM81,2_METAG/OMM,GCA_023277905.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/DI/B_caecimuris_v2_MM81_DI.bed,DI
Bacteroides,caecimuris,I48,B_caecimuris_v2,metagenomics/OligoMM12/corrected_fasta,MM81,2_METAG/OMM,GCA_023277905.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/insulation/B_caecimuris_v2_MM81_insulation.bed,insulation
Bacteroides,caecimuris,I48,B_caecimuris_v2,metagenomics/OligoMM12/corrected_fasta,MM81,2_METAG/OMM,GCA_023277905.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/borders/B_caecimuris_v2_MM81_borders.bed,borders
Bacteroides,caecimuris,I48,B_caecimuris_v2,metagenomics/OligoMM12/corrected_fasta,MM81,2_METAG/OMM,GCA_023277905.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/chromosight/B_caecimuris_v2_MM81_loops.tsv,chromosight
Bacteroides,fragilis,NTC9343,B_fragilis_NCTC9343_VJ,bacteria/bacteroides/fragilis/NCTC9343,MM259,1_BACTERIA/Mix_bacteria,GCA_900445515.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,ref/B_fragilis_NCTC9343_VJ.fa,assembly
Bacteroides,fragilis,NTC9343,B_fragilis_NCTC9343_VJ,bacteria/bacteroides/fragilis/NCTC9343,MM259,1_BACTERIA/Mix_bacteria,GCA_900445515.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/cool/B_fragilis_NCTC9343_VJ_MM259.mcool,cool
Bacteroides,fragilis,NTC9343,B_fragilis_NCTC9343_VJ,bacteria/bacteroides/fragilis/NCTC9343,MM259,1_BACTERIA/Mix_bacteria,GCA_900445515.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/distance_law/B_fragilis_NCTC9343_VJ_MM259_distance_law.csv,distance_law
Bacteroides,fragilis,NTC9343,B_fragilis_NCTC9343_VJ,bacteria/bacteroides/fragilis/NCTC9343,MM259,1_BACTERIA/Mix_bacteria,GCA_900445515.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/pairs/B_fragilis_NCTC9343_VJ_MM259.pairs,pairs
Bacteroides,fragilis,NTC9343,B_fragilis_NCTC9343_VJ,bacteria/bacteroides/fragilis/NCTC9343,MM259,1_BACTERIA/Mix_bacteria,GCA_900445515.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/macrodomains/B_fragilis_NCTC9343_VJ_MM259_macrodomains.bed,macrodomains
Bacteroides,fragilis,NTC9343,B_fragilis_NCTC9343_VJ,bacteria/bacteroides/fragilis/NCTC9343,MM259,1_BACTERIA/Mix_bacteria,GCA_900445515.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/DI/B_fragilis_NCTC9343_VJ_MM259_DI.bed,DI
Bacteroides,fragilis,NTC9343,B_fragilis_NCTC9343_VJ,bacteria/bacteroides/fragilis/NCTC9343,MM259,1_BACTERIA/Mix_bacteria,GCA_900445515.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/insulation/B_fragilis_NCTC9343_VJ_MM259_insulation.bed,insulation
Bacteroides,fragilis,NTC9343,B_fragilis_NCTC9343_VJ,bacteria/bacteroides/fragilis/NCTC9343,MM259,1_BACTERIA/Mix_bacteria,GCA_900445515.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/chromosight/B_fragilis_NCTC9343_VJ_MM259_loops.tsv,chromosight
Bacteroides,thetaiotamicron,DSM 2079,B_thetaiotaomicron_DSM2079,bacteria/bacteroides/thetaiotaomicron/DSM2079,MM260,1_BACTERIA/Mix_bacteria,GCA_014131755.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,ref/B_thetaiotaomicron_DSM2079.fa,assembly
Bacteroides,thetaiotamicron,DSM 2079,B_thetaiotaomicron_DSM2079,bacteria/bacteroides/thetaiotaomicron/DSM2079,MM260,1_BACTERIA/Mix_bacteria,GCA_014131755.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/cool/B_thetaiotaomicron_DSM2079_MM260.mcool,cool
Bacteroides,thetaiotamicron,DSM 2079,B_thetaiotaomicron_DSM2079,bacteria/bacteroides/thetaiotaomicron/DSM2079,MM260,1_BACTERIA/Mix_bacteria,GCA_014131755.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/distance_law/B_thetaiotaomicron_DSM2079_MM260_distance_law.csv,distance_law
Bacteroides,thetaiotamicron,DSM 2079,B_thetaiotaomicron_DSM2079,bacteria/bacteroides/thetaiotaomicron/DSM2079,MM260,1_BACTERIA/Mix_bacteria,GCA_014131755.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/pairs/B_thetaiotaomicron_DSM2079_MM260.pairs,pairs
Bacteroides,thetaiotamicron,DSM 2079,B_thetaiotaomicron_DSM2079,bacteria/bacteroides/thetaiotaomicron/DSM2079,MM260,1_BACTERIA/Mix_bacteria,GCA_014131755.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/macrodomains/B_thetaiotaomicron_DSM2079_MM260_macrodomains.bed,macrodomains
Bacteroides,thetaiotamicron,DSM 2079,B_thetaiotaomicron_DSM2079,bacteria/bacteroides/thetaiotaomicron/DSM2079,MM260,1_BACTERIA/Mix_bacteria,GCA_014131755.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/DI/B_thetaiotaomicron_DSM2079_MM260_DI.bed,DI
Bacteroides,thetaiotamicron,DSM 2079,B_thetaiotaomicron_DSM2079,bacteria/bacteroides/thetaiotaomicron/DSM2079,MM260,1_BACTERIA/Mix_bacteria,GCA_014131755.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/insulation/B_thetaiotaomicron_DSM2079_MM260_insulation.bed,insulation
Bacteroides,thetaiotamicron,DSM 2079,B_thetaiotaomicron_DSM2079,bacteria/bacteroides/thetaiotaomicron/DSM2079,MM260,1_BACTERIA/Mix_bacteria,GCA_014131755.1,Bacteria,Bacteroidota,Bacteroidales,Bacteroidaceae,Bacteroides,results/chromosight/B_thetaiotaomicron_DSM2079_MM260_loops.tsv,chromosight
Bdellovibrio,bacteriovorus,NA,HD100_bdellovibrio,bacteria/Bdellovibrio,FO69,1_BACTERIA/Bdellovibrio_Ecoli,NA,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,ref/HD100_bdellovibrio.fa,assembly
Bdellovibrio,bacteriovorus,NA,HD100_bdellovibrio,bacteria/Bdellovibrio,FO69,1_BACTERIA/Bdellovibrio_Ecoli,NA,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,results/cool/HD100_bdellovibrio_FO69.mcool,cool
Bdellovibrio,bacteriovorus,NA,HD100_bdellovibrio,bacteria/Bdellovibrio,FO69,1_BACTERIA/Bdellovibrio_Ecoli,NA,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,results/distance_law/HD100_bdellovibrio_FO69_distance_law.csv,distance_law
Bdellovibrio,bacteriovorus,NA,HD100_bdellovibrio,bacteria/Bdellovibrio,FO69,1_BACTERIA/Bdellovibrio_Ecoli,NA,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,results/pairs/HD100_bdellovibrio_FO69.pairs,pairs
Bdellovibrio,bacteriovorus,NA,HD100_bdellovibrio,bacteria/Bdellovibrio,FO69,1_BACTERIA/Bdellovibrio_Ecoli,NA,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,results/macrodomains/HD100_bdellovibrio_FO69_macrodomains.bed,macrodomains
Bdellovibrio,bacteriovorus,NA,HD100_bdellovibrio,bacteria/Bdellovibrio,FO69,1_BACTERIA/Bdellovibrio_Ecoli,NA,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,results/DI/HD100_bdellovibrio_FO69_DI.bed,DI
